Runs,thisN,thisTrialN,thisRepN,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder,trialOrder,advanceToTrigger.keys,advanceToTrigger.rt,advanceToTrigger.duration,scannerTriggerKey.keys,scannerTriggerKey.rt,scannerTriggerKey.duration,optimalImg,suboptimalImg,optimalSide,suboptimalSide,optimalResponse,suboptimalResponse,leftImage,rightImage,startFixOnTime,cueOnTime,responseTime,cueOffTime,cueResp.keys,cueResp.corr,cueResp.rt,cueResp.duration,Choice,Accuracy,outcome,Feedback,trialChange,runningBankTotal,feedbackTime,feedbackOffTime,fixationTime,pracBlock.thisRepN,pracBlock.thisTrialN,pracBlock.thisN,pracBlock.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,pracDir.started,pracDirText.started,advanceScreenPress.started,pracDir.stopped,advanceScreenPress.keys,advanceScreenPress.rt,advanceScreenPress.duration,summaryDirections.started,summary.started,advanceScreenPress4.started,summaryDirections.stopped,advanceScreenPress4.keys,advanceScreenPress4.rt,advanceScreenPress4.duration,getReady.started,getReadyText.started,advanceToTrigger.started,getReady.stopped,runs.advanceToTrigger.keys,runs.advanceToTrigger.rt,runs.advanceToTrigger.duration,waitForScanner.started,waitScannerText.started,scannerTriggerKey.started,waitForScanner.stopped,runs.scannerTriggerKey.keys,runs.scannerTriggerKey.rt,runs.scannerTriggerKey.duration,trials.optimalImg,trials.suboptimalImg,trials.optimalSide,trials.suboptimalSide,trials.optimalResponse,trials.suboptimalResponse,trials.leftImage,trials.rightImage,trials.startFixOnTime,cue.started,startFixStatic.started,frame1.started,staticISI.started,startFixStatic.stopped,leftCue.started,rightCue.started,cueResp.started,topFrameText.started,bottomFrameText.started,trials.cueOnTime,trials.responseTime,cue.stopped,trials.cueOffTime,trials.cueResp.keys,trials.cueResp.corr,trials.cueResp.rt,trials.cueResp.duration,outcomeDelayRoutine.started,frame1Fix.started,outcomeDelayFix.started,topFrameTextFix.started,bottomFrameTextFix.started,frame1Fix.stopped,outcomeDelayFix.stopped,topFrameTextFix.stopped,bottomFrameTextFix.stopped,outcomeDelayRoutine.stopped,trials.Choice,trials.Accuracy,trials.outcome,trials.Feedback,trials.trialChange,trials.runningBankTotal,trials.feedbackTime,outcomeRoutine.started,outcomeText.started,outcomeText.stopped,outcomeRoutine.stopped,trials.feedbackOffTime,trials.fixationTime,fixation.started,fixationCrosshair.started,fixationCrosshair.stopped,fixation.stopped,frame1.stopped,leftCue.stopped,rightCue.stopped,cueResp.stopped,topFrameText.stopped,bottomFrameText.stopped,participant,session,vers,mriMode,practice,date,expName,psychopyVersion,frameRate,cuePairs,expStartTime,expStart,bank,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011568207992240787,0.01808295800583437,0.01808295800583437,9.296565583004849,space,9.235374790994683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517413,1,A,Scan,no,2025-03-30_15h42.59.596,reward_learning_task,2024.2.4,None,"{'highgain': {'optimalChoice': '1.png', 'suboptimalChoice': '2.png'}, 'lowgain': {'optimalChoice': '3.png', 'suboptimalChoice': '4.png'}, 'highloss': {'optimalChoice': '5.png', 'suboptimalChoice': '6.png'}, 'lowloss': {'optimalChoice': '7.png', 'suboptimalChoice': '8.png'}}",Sun Mar 30 15:43:30 2025,2025-03-30 15h43.30.853104 -0500,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.297474207996856,9.321136208018288,9.321136208018288,11.30866124999011,space,1.9800775410258211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517413,1,A,Scan,no,2025-03-30_15h42.59.596,reward_learning_task,2024.2.4,None,"{'highgain': {'optimalChoice': '1.png', 'suboptimalChoice': '2.png'}, 'lowgain': {'optimalChoice': '3.png', 'suboptimalChoice': '4.png'}, 'highloss': {'optimalChoice': '5.png', 'suboptimalChoice': '6.png'}, 'lowloss': {'optimalChoice': '7.png', 'suboptimalChoice': '8.png'}}",Sun Mar 30 15:43:30 2025,2025-03-30 15h43.30.853104 -0500,,
Run1,0,0,0,highloss,1.5,2.5,0,Drift3,1,1,space,0.6393293330038432,None,5,1.0016665000002831,None,5.png,6.png,right,left,2,1,images/6.png,images/5.png,13.061913499986986,13.588381832989398,13.987552125006914,16.054998500010697,1,0,0.38552100001834333,0.16806979198008776,2,0,True,1,0,0,18.555892375006806,19.555309916002443,19.555340249993606,,,,,0,0,0,0,0,0,0,0,13.05284233301063,,,,,,,,,,,,,,,,11.32360050000716,11.340819042001385,11.340819042001385,11.996879167010775,space,0.6393293330038432,None,11.997043083014432,12.00875075001386,12.00875075001386,13.013237875013147,5,1.0016665000002831,None,5.png,6.png,right,left,2,1,images/6.png,images/5.png,13.061913499986986,13.039833999995608,13.05284233301063,13.05284233301063,0.02660187499714084,13.556123417016352,13.556123417016352,13.556123417016352,13.556123417016352,13.556123417016352,13.556123417016352,13.588381832989398,13.987552125006914,16.023169374995632,16.054998500010697,1,0,0.38552100001834333,0.16806979198008776,16.027470583008835,16.035726375004742,16.035726375004742,16.035726375004742,16.035726375004742,18.536285042006057,18.536285042006057,18.536285042006057,18.536285042006057,18.523933124990435,2,0,True,1,0,0,18.555892375006806,18.53061595800682,18.536285042006057,19.527124749991344,19.52347612500307,19.555309916002443,19.555340249993606,19.523546707991045,19.527124749991344,21.023142916994402,21.011184125003638,,,,,,,517413,1,A,Scan,no,2025-03-30_15h42.59.596,reward_learning_task,2024.2.4,None,"{'highgain': {'optimalChoice': '1.png', 'suboptimalChoice': '2.png'}, 'lowgain': {'optimalChoice': '3.png', 'suboptimalChoice': '4.png'}, 'highloss': {'optimalChoice': '5.png', 'suboptimalChoice': '6.png'}, 'lowloss': {'optimalChoice': '7.png', 'suboptimalChoice': '8.png'}}",Sun Mar 30 15:43:30 2025,2025-03-30 15h43.30.853104 -0500,0,
Run1,1,1,0,highloss,1.0,2.0,1,Drift3,2,2,space,0.6393293330038432,None,5,1.0016665000002831,None,5.png,6.png,left,right,1,2,images/5.png,images/6.png,21.04420979099814,21.55470129099558,22.000015875004465,24.05505945798359,2,0,0.4231856249971315,0.20504395800526254,2,0,False,0,-0.5,-0.5,26.042504165990977,27.039033165987348,27.03907812500256,,,,,0,0,0,0,0,1,1,1,21.023142916994402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.png,6.png,left,right,1,2,images/5.png,images/6.png,21.04420979099814,21.012467749998905,21.023142916994402,21.023142916994402,0.0012594169820658863,21.52253629200277,21.52253629200277,21.52253629200277,21.52253629200277,21.52253629200277,21.52253629200277,21.55470129099558,22.000015875004465,24.023233207990415,24.05505945798359,2,0,0.4231856249971315,0.20504395800526254,24.02333812500001,24.02749037501053,24.02749037501053,24.02749037501053,24.02749037501053,26.023149667016696,26.023149667016696,26.023149667016696,26.023149667016696,26.010596792009892,2,0,False,0,-0.5,-0.5,26.042504165990977,26.014282000018284,26.023149667016696,27.01111312501598,27.00719908301835,27.039033165987348,27.03907812500256,27.007298208016437,27.01111312501598,28.010899499990046,27.998257917002775,24.009282917017117,24.009282917017117,24.009282917017117,24.009282917017117,24.009282917017117,24.009282917017117,517413,1,A,Scan,no,2025-03-30_15h42.59.596,reward_learning_task,2024.2.4,None,"{'highgain': {'optimalChoice': '1.png', 'suboptimalChoice': '2.png'}, 'lowgain': {'optimalChoice': '3.png', 'suboptimalChoice': '4.png'}, 'highloss': {'optimalChoice': '5.png', 'suboptimalChoice': '6.png'}, 'lowloss': {'optimalChoice': '7.png', 'suboptimalChoice': '8.png'}}",Sun Mar 30 15:43:30 2025,2025-03-30 15h43.30.853104 -0500,-0.5,
Run1,2,2,0,highgain,2.0,1.5,0,Drift1,1,3,space,0.6393293330038432,None,5,1.0016665000002831,None,1.png,2.png,left,right,1,2,images/1.png,images/2.png,28.031242416007444,28.545706250006333,28.898263124981895,31.038408041000366,1,1,0.33110675000352785,0.20401308298460208,1,1,False,0,0,-0.5,32.5394849999866,33.53888849998475,33.5389328750025,,,,,0,0,0,0,0,2,2,2,28.010899499990046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.png,2.png,left,right,1,2,images/1.png,images/2.png,28.031242416007444,28.00698904201272,28.010899499990046,28.010899499990046,0.008710082998732105,28.513579916994786,28.513579916994786,28.513579916994786,28.513579916994786,28.513579916994786,28.513579916994786,28.545706250006333,28.898263124981895,31.00658604199998,31.038408041000366,1,1,0.33110675000352785,0.20401308298460208,31.01127175000147,31.016579499992076,31.016579499992076,31.016579499992076,31.016579499992076,32.5168071250082,32.5168071250082,32.5168071250082,32.5168071250082,32.50754029199015,1,1,False,0,0,-0.5,32.5394849999866,32.51219045801554,32.5168071250082,33.51079329199274,33.50705516699236,33.53888849998475,33.5389328750025,33.507152542006224,33.51079329199274,35.50946520801517,35.49626733301557,31.006457167008193,,,,,,517413,1,A,Scan,no,2025-03-30_15h42.59.596,reward_learning_task,2024.2.4,None,"{'highgain': {'optimalChoice': '1.png', 'suboptimalChoice': '2.png'}, 'lowgain': {'optimalChoice': '3.png', 'suboptimalChoice': '4.png'}, 'highloss': {'optimalChoice': '5.png', 'suboptimalChoice': '6.png'}, 'lowloss': {'optimalChoice': '7.png', 'suboptimalChoice': '8.png'}}",Sun Mar 30 15:43:30 2025,2025-03-30 15h43.30.853104 -0500,-0.5,
Run1,3,3,0,highloss,1.5,1.5,1,Drift3,3,4,space,0.6393293330038432,None,5,1.0016665000002831,None,5.png,6.png,right,left,2,1,images/6.png,images/5.png,35.52935891598463,36.04298929098877,36.37090700000408,38.538537957996596,2,1,0.3137639579945244,0.14114591700490564,1,1,True,1,0,-0.5,40.03914520799299,41.040513790998375,41.04056274998584,,,,,0,0,0,0,0,3,3,3,35.50946520801517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.png,6.png,right,left,2,1,images/6.png,images/5.png,35.52935891598463,35.503430042008404,35.50946520801517,35.50946520801517,0.007128625002223998,36.01083062498947,36.01083062498947,36.01083062498947,36.01083062498947,36.01083062498947,36.01083062498947,36.04298929098877,36.37090700000408,38.506712875008816,38.538537957996596,2,1,0.3137639579945244,0.14114591700490564,38.51141954201739,38.51662979199318,38.51662979199318,38.51662979199318,38.51662979199318,40.01460154200322,40.01460154200322,40.01460154200322,40.01460154200322,40.00718862499343,1,1,True,1,0,-0.5,40.03914520799299,40.0102843749919,40.01460154200322,,41.008679374994244,41.040513790998375,41.04056274998584,41.00878304199432,41.026719207991846,42.5397926250007,42.527398250007536,38.50657950001187,38.50657950001187,38.50657950001187,38.50657950001187,38.50657950001187,38.50657950001187,517413,1,A,Scan,no,2025-03-30_15h42.59.596,reward_learning_task,2024.2.4,None,"{'highgain': {'optimalChoice': '1.png', 'suboptimalChoice': '2.png'}, 'lowgain': {'optimalChoice': '3.png', 'suboptimalChoice': '4.png'}, 'highloss': {'optimalChoice': '5.png', 'suboptimalChoice': '6.png'}, 'lowloss': {'optimalChoice': '7.png', 'suboptimalChoice': '8.png'}}",Sun Mar 30 15:43:30 2025,2025-03-30 15h43.30.853104 -0500,-0.5,
Run1,4,4,0,lowloss,1.5,1.5,1,Drift4,1,5,space,0.6393293330038432,None,5,1.0016665000002831,None,7.png,8.png,right,left,2,1,images/8.png,images/7.png,42.560895333008375,43.076455790986074,43.50469695799984,45.571858332987176,1,0,0.3967185000074096,0.24758116601151414,2,0,False,0,-0.25,-0.75,47.07214258299791,48.07204454098246,48.07207612498314,,,,,0,0,0,0,0,4,4,4,42.5397926250007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.png,8.png,right,left,2,1,images/8.png,images/7.png,42.560895333008375,42.53484979199129,42.5397926250007,42.5397926250007,0.007441249996190891,43.04427145799855,43.04427145799855,43.04427145799855,43.04427145799855,43.04427145799855,43.04427145799855,43.076455790986074,43.50469695799984,45.5400332499994,45.571858332987176,1,0,0.3967185000074096,0.24758116601151414,45.54308575001778,45.548051291989395,45.548051291989395,45.548051291989395,45.548051291989395,47.046462041995255,47.046462041995255,47.046462041995255,47.046462041995255,47.040260333014885,2,0,False,0,-0.25,-0.75,47.07214258299791,47.04272129200399,47.046462041995255,48.04331983299926,48.040217792004114,48.07204454098246,48.07207612498314,48.040288582997164,48.04331983299926,49.53993829200044,49.52802754199365,45.527416291995905,45.53991562500596,45.53991562500596,45.53991562500596,45.53991562500596,45.53991562500596,517413,1,A,Scan,no,2025-03-30_15h42.59.596,reward_learning_task,2024.2.4,None,"{'highgain': {'optimalChoice': '1.png', 'suboptimalChoice': '2.png'}, 'lowgain': {'optimalChoice': '3.png', 'suboptimalChoice': '4.png'}, 'highloss': {'optimalChoice': '5.png', 'suboptimalChoice': '6.png'}, 'lowloss': {'optimalChoice': '7.png', 'suboptimalChoice': '8.png'}}",Sun Mar 30 15:43:30 2025,2025-03-30 15h43.30.853104 -0500,-0.75,
Run1,5,5,0,lowloss,1.5,2.0,1,Drift4,2,6,space,0.6393293330038432,None,5,1.0016665000002831,None,7.png,8.png,left,right,1,2,images/7.png,images/8.png,49.56054129099357,50.07139075000305,50.55502370800241,52.561253166000824,2,0,0.4706256249919534,0.14411416702205315,2,0,False,0,-0.25,-1.0,54.5554807909939,55.555450915999245,55.55548554100096,,,,,0,0,0,0,0,5,5,5,49.53993829200044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.png,8.png,left,right,1,2,images/7.png,images/8.png,49.56054129099357,49.528774333011825,49.53993829200044,49.53993829200044,0.0007327909988816828,50.03924533299869,50.03924533299869,50.03924533299869,50.03924533299869,50.03924533299869,50.03924533299869,50.07139075000305,50.55502370800241,52.529429999995045,52.561253166000824,2,0,0.4706256249919534,0.14411416702205315,52.52951145800762,52.53997154199169,52.53997154199169,52.53997154199169,52.53997154199169,54.52971566701308,54.52971566701308,54.52971566701308,54.52971566701308,54.52358066700981,2,0,False,0,-0.25,-1.0,54.5554807909939,54.523699667013716,54.52971566701308,55.529643167014,55.52362362499116,55.555450915999245,55.55548554100096,55.5236989580153,55.529643167014,57.03372033301275,57.02358183299657,52.529292749997694,52.529292749997694,52.529292749997694,52.529292749997694,52.529292749997694,52.529292749997694,517413,1,A,Scan,no,2025-03-30_15h42.59.596,reward_learning_task,2024.2.4,None,"{'highgain': {'optimalChoice': '1.png', 'suboptimalChoice': '2.png'}, 'lowgain': {'optimalChoice': '3.png', 'suboptimalChoice': '4.png'}, 'highloss': {'optimalChoice': '5.png', 'suboptimalChoice': '6.png'}, 'lowloss': {'optimalChoice': '7.png', 'suboptimalChoice': '8.png'}}",Sun Mar 30 15:43:30 2025,2025-03-30 15h43.30.853104 -0500,-1.0,
,6,6,0,lowgain,2.0,1.5,1,Drift2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,57.03372033301275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.png,4.png,right,left,2,1,images/4.png,images/3.png,57.05615116600529,57.028569207992405,57.03372033301275,57.03372033301275,0.004985834006220102,57.53940479201265,57.53940479201265,57.53940479201265,57.53940479201265,57.53940479201265,57.53940479201265,57.57178216599277,57.98172016598983,60.02686279200134,60.05868720798753,1,0,0.39071175002027303,0.16172049997840077,60.031159292004304,60.03977779200068,60.03977779200068,60.03977779200068,60.03977779200068,61.5315760000085,61.5315760000085,61.5315760000085,61.5315760000085,61.52375058300095,2,0,False,0,0,-1.0,61.555674915987765,61.52738425001735,61.5315760000085,,,,,,,,,60.026682875002734,60.026682875002734,60.026682875002734,60.026682875002734,60.026682875002734,60.026682875002734,,,,,,,,,,,,,,
